問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4,画像
467,page,ページ,教科書,恥ずかしがる，内気な,手紙,
468,shy,恥ずかしがる，内気な,ページ,手紙,レストラン,
469,letter,手紙,恥ずかしがる，内気な,レストラン,～をさわる,
470,restaurant,レストラン,手紙,～をさわる,英語で話す［しゃべる］,
471,touch,～をさわる,レストラン,英語で話す［しゃべる］,みなさん,
472,talk in English,英語で話す［しゃべる］,～をさわる,みなさん,宿題,
473,everyone,みなさん,英語で話す［しゃべる］,宿題,いっしょに,
474,homework,宿題,みなさん,いっしょに,明日,
475,together,いっしょに,宿題,明日,スーパーマーケット,
476,tomorrow,明日,いっしょに,スーパーマーケット,デパート,
477,supermarket,スーパーマーケット,明日,デパート,星,
478,department store,デパート,スーパーマーケット,星,悲しい,
479,star,星,デパート,悲しい,家へ帰る,
480,sad,悲しい,星,家へ帰る,プレゼント,
481,go home,家へ帰る,悲しい,プレゼント,誕生日,
482,present,プレゼント,家へ帰る,誕生日,帰宅する，家に帰って来る,
483,birthday,誕生日,プレゼント,帰宅する，家に帰って来る,特別な,
484,come home,帰宅する，家に帰って来る,誕生日,特別な,もちろん,
485,special,特別な,帰宅する，家に帰って来る,もちろん,泳ぐ,
486,of course,もちろん,特別な,泳ぐ,たいてい,
487,swim,泳ぐ,もちろん,たいてい,バスで,
488,usually,たいてい,泳ぐ,バスで,（～を）料理する,
489,by bus,バスで,たいてい,（～を）料理する,フルート,
490,cook,（～を）料理する,バスで,フルート,帰宅する，家へ帰って来る,
491,flute,フルート,（～を）料理する,帰宅する，家へ帰って来る,早く,
492,come home,帰宅する，家へ帰って来る,フルート,早く,～を飲む,
493,early,早く,帰宅する，家へ帰って来る,～を飲む,コーヒー,
494,drink,～を飲む,早く,コーヒー,～に住む［住んでいる］,
495,coffee,コーヒー,～を飲む,～に住む［住んでいる］,（～を）教える,
496,live in ～,～に住む［住んでいる］,コーヒー,（～を）教える,～を手伝う，助ける,
497,teach,（～を）教える,～に住む［住んでいる］,～を手伝う，助ける,フランス語,
498,help,～を手伝う，助ける,（～を）教える,フランス語,学校で,
499,French,フランス語,～を手伝う，助ける,学校で,～に手紙を書く,
500,at school,学校で,フランス語,～に手紙を書く,（～を）運転する,
501,write to ～,～に手紙を書く,学校で,（～を）運転する,美術，芸術,
502,drive,（～を）運転する,～に手紙を書く,美術，芸術,働く,
503,art,美術，芸術,（～を）運転する,働く,（～を）練習する,
504,work,働く,美術，芸術,（～を）練習する,起きる,
505,practice,（～を）練習する,働く,起きる,～のあとに,
506,get up,起きる,（～を）練習する,～のあとに,あまり～ではない,
507,after ～,～のあとに,起きる,あまり～ではない,～のあとに,
508,not ～ very much,あまり～ではない,～のあとに,～のあとに,夕食，ディナー,
509,after ～,～のあとに,あまり～ではない,夕食，ディナー,教科，科目,
510,dinner,夕食，ディナー,～のあとに,教科，科目,ときどき,
511,subject,教科，科目,夕食，ディナー,ときどき,寝る,
512,sometimes,ときどき,教科，科目,寝る,(時刻が)遅く,
513,go to bed,寝る,ときどき,(時刻が)遅く,スキーをする,
514,late,(時刻が)遅く,寝る,スキーをする,中国語,
515,ski,スキーをする,(時刻が)遅く,中国語,番組,
516,Chinese,中国語,スキーをする,番組,～を楽しむ,
517,program,番組,中国語,～を楽しむ,走る,
518,enjoy,～を楽しむ,番組,走る,公園,
519,run,走る,～を楽しむ,公園,（１つも）〜ない,
520,park,公園,走る,（１つも）〜ない,授業，クラス,
521,no ～,（１つも）〜ない,公園,授業，クラス,今日（は）,
522,class,授業，クラス,（１つも）〜ない,今日（は）,（～を）読む，読書する,
523,today,今日（は）,授業，クラス,（～を）読む，読書する,（ある言語を）話す人，話者,
524,read,（～を）読む，読書する,今日（は）,（ある言語を）話す人，話者,会社，役所，事務所,
525,speaker,（ある言語を）話す人，話者,（～を）読む，読書する,会社，役所，事務所,～を聞く,
526,office,会社，役所，事務所,（ある言語を）話す人，話者,～を聞く,～を運ぶ,
527,listen to ～,～を聞く,会社，役所，事務所,～を運ぶ,（～を）歌う,
528,carry,～を運ぶ,～を聞く,（～を）歌う,約～，およそ～,
529,sing,（～を）歌う,～を運ぶ,約～，およそ～,歌,
530,about ～,約～，およそ～,（～を）歌う,歌,祖母，おばあさん,
531,song,歌,約～，およそ～,祖母，おばあさん,朝食,
532,grandmother,祖母，おばあさん,歌,朝食,難しい,
533,breakfast,朝食,祖母，おばあさん,難しい,私を［に］,
534,difficult,難しい,朝食,私を［に］,あなた（たち）は・あなた（たち）を［に］,
535,me,私を［に］,難しい,あなた（たち）は・あなた（たち）を［に］,彼を［に］,
536,you,あなた（たち）は・あなた（たち）を［に］,私を［に］,彼を［に］,～と（いっしょに）遊ぶ,
537,him,彼を［に］,あなた（たち）は・あなた（たち）を［に］,～と（いっしょに）遊ぶ,彼女の・彼女を［に］,
538,play with ～,～と（いっしょに）遊ぶ,彼を［に］,彼女の・彼女を［に］,それは・それを［に］,
539,her,彼女の・彼女を［に］,～と（いっしょに）遊ぶ,それは・それを［に］,私たちを［に］,
540,it,それは・それを［に］,彼女の・彼女を［に］,私たちを［に］,彼らを［に］，彼女らを［に］，それらを［に］,
541,us,私たちを［に］,それは・それを［に］,彼らを［に］，彼女らを［に］，それらを［に］,これらは・これらの,
542,them,彼らを［に］，彼女らを［に］，それらを［に］,私たちを［に］,これらは・これらの,～のために昼食を料理する,
543,these,これらは・これらの,彼らを［に］，彼女らを［に］，それらを［に］,～のために昼食を料理する,私のもの,
544,cook lunch for ～,～のために昼食を料理する,これらは・これらの,私のもの,あなた（たち）のもの,
545,mine,私のもの,～のために昼食を料理する,あなた（たち）のもの,彼の・彼のもの,
546,yours,あなた（たち）のもの,私のもの,彼の・彼のもの,彼女のもの,
547,his,彼の・彼のもの,あなた（たち）のもの,彼女のもの,私たちのもの,
548,hers,彼女のもの,彼の・彼のもの,私たちのもの,彼らのもの，彼女らのもの,
549,ours,私たちのもの,彼女のもの,彼らのもの，彼女らのもの,店,
550,theirs,彼らのもの，彼女らのもの,私たちのもの,店,あれらは・あれらの,
551,store,店,彼らのもの，彼女らのもの,あれらは・あれらの,だれの・だれのもの,
552,those,あれらは・あれらの,店,だれの・だれのもの,絵，写真,
553,whose,だれの・だれのもの,あれらは・あれらの,絵，写真,（～を）覚えている，思い出す,
554,picture,絵，写真,だれの・だれのもの,（～を）覚えている，思い出す,いそがしい,
555,remember,（～を）覚えている，思い出す,絵，写真,いそがしい,～（の言うこと）を聞く,
556,busy,いそがしい,（～を）覚えている，思い出す,～（の言うこと）を聞く,～をさわる,
557,listen to ～,～（の言うこと）を聞く,いそがしい,～をさわる,～がいなくて［～に会えなくて］さびしく思う,
558,touch,～をさわる,～（の言うこと）を聞く,～がいなくて［～に会えなくて］さびしく思う,～について話す,
559,miss,～がいなくて［～に会えなくて］さびしく思う,～をさわる,～について話す,国,
560,talk about ～,～について話す,～がいなくて［～に会えなくて］さびしく思う,国,買い物に行く,
561,country,国,～について話す,買い物に行く,～がほしい,
562,go shopping,買い物に行く,国,～がほしい,～を使う,
563,want,～がほしい,買い物に行く,～を使う,英語で,
564,use,～を使う,～がほしい,英語で,定規,
565,in English,英語で,～を使う,定規,若い,
566,ruler,定規,英語で,若い,辞書,
567,young,若い,定規,辞書,赤い,
568,dictionary,辞書,若い,赤い,かさ,
569,red,赤い,辞書,かさ,黄色い,
570,umbrella,かさ,赤い,黄色い,くつ,
571,yellow,黄色い,かさ,くつ,向こうに,
572,shoe(s),くつ,黄色い,向こうに,手袋，（野球などの）グローブ,
573,over there,向こうに,くつ,手袋，（野球などの）グローブ,親（parentsで「両親」）,
574,glove,手袋，（野球などの）グローブ,向こうに,親（parentsで「両親」）,～に住む［住んでいる］,
575,parent,親（parentsで「両親」）,手袋，（野球などの）グローブ,～に住む［住んでいる］,～に電話する,
576,live in ～,～に住む［住んでいる］,親（parentsで「両親」）,～に電話する,いとこ,
577,call,～に電話する,～に住む［住んでいる］,いとこ,バドミントン,
578,cousin,いとこ,～に電話する,バドミントン,同級生，クラスメート,
579,badminton,バドミントン,いとこ,同級生，クラスメート,[疑問文で]何か,
580,classmate,同級生，クラスメート,バドミントン,[疑問文で]何か,Ｅメール，電子メール,
581,anything,[疑問文で]何か,同級生，クラスメート,Ｅメール，電子メール,～を送る,
582,e-mail,Ｅメール，電子メール,[疑問文で]何か,～を送る,～の前に,
583,send,～を送る,Ｅメール，電子メール,～の前に,時刻，時間，時,
584,before,～の前に,～を送る,時刻，時間，時,10時,
585,time,時刻，時間，時,～の前に,10時,午前(中)に[の],
586,ten o'clock,10時,時刻，時間，時,午前(中)に[の],帰宅する，家に着く,
587,in the morning,午前(中)に[の],10時,帰宅する，家に着く,日曜日,
588,get home,帰宅する，家に着く,午前(中)に[の],日曜日,日，日付,
589,Sunday,日曜日,帰宅する，家に着く,日，日付,１月,
590,date,日，日付,日曜日,１月,いつ,
591,January,１月,日，日付,いつ,誕生日,
592,when ,いつ,１月,誕生日,12月,
593,birthday,誕生日,いつ,12月,1日，1番目,
594,December,12月,誕生日,1日，1番目,2日，2番目,
595,first,1日，1番目,12月,2日，2番目,5月,
596,second,2日，2番目,1日，1番目,5月,5日，5番目,
597,May ,5月,2日，2番目,5日，5番目,月曜日,
598,fifth,5日，5番目,5月,月曜日,週,
599,Monday,月曜日,5日，5番目,週,(こよみの)月,
600,week,週,月曜日,(こよみの)月,火曜日,
601,month,(こよみの)月,週,火曜日,水曜日,
602,Tuesday,火曜日,(こよみの)月,水曜日,木曜日,
603,Wednesday,水曜日,火曜日,木曜日,金曜日,
604,Thursday,木曜日,水曜日,金曜日,土曜日,
605,Friday,金曜日,木曜日,土曜日,2月,
606,Saturday,土曜日,金曜日,2月,3月,
607,February,2月,土曜日,3月,4月,
608,March,3月,2月,4月,6月,
609,April,4月,3月,6月,7月,
610,June,6月,4月,7月,8月,
611,July,7月,6月,8月,9月,
612,August,8月,7月,9月,10月,
613,September,9月,8月,10月,11月,
614,October,10月,9月,11月,家を出る,
615,November,11月,10月,家を出る,春,
616,leave home,家を出る,11月,春,正午に,
617,spring,春,家を出る,正午に,夜に,
618,at noon,正午に,春,夜に,～から…まで,
619,at night,夜に,正午に,～から…まで,秋,
620,from ～ to …,～から…まで,夜に,秋,夏,
621,fall,秋,～から…まで,夏,冬,
622,summer,夏,秋,冬,3日，3番目,
623,winter,冬,夏,3日，3番目,4日，4番目,
624,third,3日，3番目,冬,4日，4番目,12日，12番目,
625,fourth,4日，4番目,3日，3番目,12日，12番目,20日，20番目,
626,twelfth,12日，12番目,4日，4番目,20日，20番目,始まる,
627,twentieth,20日，20番目,12日，12番目,始まる,雪,
628,begin,始まる,20日，20番目,雪,寒い,
629,snow,雪,始まる,寒い,雨が降る,
630,cold,寒い,雪,雨が降る,ふろに入る,
631,rain,雨が降る,寒い,ふろに入る,夕方[晩]に[の],
632,take a bath,ふろに入る,雨が降る,夕方[晩]に[の],暑い,
633,in the evening,夕方[晩]に[の],ふろに入る,暑い,どこに［で］，どこへ,
634,hot,暑い,夕方[晩]に[の],どこに［で］，どこへ,住む，住んでいる,
635,where,どこに［で］，どこへ,暑い,住む，住んでいる,机の上に,
636,live,住む，住んでいる,どこに［で］，どこへ,机の上に,～の下に,
637,on the desk,机の上に,住む，住んでいる,～の下に,～の近くに,
638,under ～,～の下に,机の上に,～の近くに,～のそばに,
639,near ～,～の近くに,～の下に,～のそばに,～の前に,
640,by ～,～のそばに,～の近くに,～の前に,店,
641,in front of ～,～の前に,～のそばに,店,図書館，図書室,
642,store,店,～の前に,図書館，図書室,かべ,
643,library,図書館，図書室,店,かべ,駅,
644,wall,かべ,図書館，図書室,駅,どちらが［どちらを，どれが，どれを］・どちらの［どの］,
645,station,駅,かべ,どちらが［どちらを，どれが，どれを］・どちらの［どの］,白い,
646,which,どちらが［どちらを，どれが，どれを］・どちらの［どの］,駅,白い,私のもの,
647,white,白い,どちらが［どちらを，どれが，どれを］・どちらの［どの］,私のもの,なぜ,
648,mine,私のもの,白い,なぜ,なぜなら～だから,
649,why,なぜ,私のもの,なぜなら～だから,黒い,
650,because,なぜなら～だから,なぜ,黒い,どうやって［どのくらい］・どんなふう［状態］で,
651,black,黒い,なぜなら～だから,どうやって［どのくらい］・どんなふう［状態］で,～歳,
652,how,どうやって［どのくらい］・どんなふう［状態］で,黒い,～歳,天気，天候,
653,～ year(s) old,～歳,どうやって［どのくらい］・どんなふう［状態］で,天気，天候,くもりの,
654,weather,天気，天候,～歳,くもりの,どのくらい(の期間)～ですか。,
655,cloudy,くもりの,天気，天候,どのくらい(の期間)～ですか。,(山などの高さが)高い,
656,How long ～?,どのくらい(の期間)～ですか。,くもりの,(山などの高さが)高い,～はいくらですか。,
657,high,(山などの高さが)高い,どのくらい(の期間)～ですか。,～はいくらですか。,100(の),
658,How much ～?,～はいくらですか。,(山などの高さが)高い,100(の),会社，役所，事務所,
659,hundred,100(の),～はいくらですか。,会社，役所，事務所,列車，電車,
660,office,会社，役所，事務所,100(の),列車，電車,～を買う,
661,train,列車，電車,会社，役所，事務所,～を買う,パン,
662,buy,～を買う,列車，電車,パン,ごはん，米,
663,bread,パン,～を買う,ごはん，米,緑色の,
664,rice,ごはん，米,パン,緑色の,木,
665,green,緑色の,ごはん，米,木,～はどうですか。,
666,tree,木,緑色の,～はどうですか。,そこへ，そこで，そこに,
667,How about ～?,～はどうですか。,木,そこへ，そこで，そこに,水泳,
668,there,そこへ，そこで，そこに,～はどうですか。,水泳,メートル,
669,swimming,水泳,そこへ，そこで，そこに,メートル,ドル,
670,meter,メートル,水泳,ドル,山,
671,dollar,ドル,メートル,山,"1,000(の)",
672,mountain,山,ドル,"1,000(の)",雨（降り）の,
673,thousand,"1,000(の)",山,雨（降り）の,晴れの,
674,rainy,雨（降り）の,"1,000(の)",晴れの,橋,
675,sunny,晴れの,雨（降り）の,橋,髪の毛,
676,bridge,橋,晴れの,髪の毛,博物館，美術館,
677,hair,髪の毛,橋,博物館，美術館,季節,
678,museum,博物館，美術館,髪の毛,季節,川,
679,season,季節,博物館，美術館,川,(時間の)分,
680,river,川,季節,(時間の)分,果物，フルーツ,
681,minute,(時間の)分,川,果物，フルーツ,もも,
682,fruit,果物，フルーツ,(時間の)分,もも,滞在する,
683,peach,もも,果物，フルーツ,滞在する,手紙,
684,stay,滞在する,もも,手紙,～をそうじする,
685,letter,手紙,滞在する,～をそうじする,もどる，もどって来る,
686,clean,～をそうじする,手紙,もどる，もどって来る,すぐに，まもなく,
687,come back,もどる，もどって来る,～をそうじする,すぐに，まもなく,すわる,
688,soon,すぐに，まもなく,もどる，もどって来る,すわる,死ぬ,
689,sit,すわる,すぐに，まもなく,死ぬ,～を訪問する，訪れる,
690,die,死ぬ,すわる,～を訪問する，訪れる,熱心に，一生けん命に，激しく,
691,visit,～を訪問する，訪れる,死ぬ,熱心に，一生けん命に，激しく,理科，科学,
692,hard,熱心に，一生けん命に，激しく,～を訪問する，訪れる,理科，科学,スキーをする,
693,science,理科，科学,熱心に，一生けん命に，激しく,スキーをする,駅,
694,ski,スキーをする,理科，科学,駅,～を閉める，閉じる，（店などが）閉まる,
695,station,駅,スキーをする,～を閉める，閉じる，（店などが）閉まる,スケートをする,
696,close,～を閉める，閉じる，（店などが）閉まる,駅,スケートをする,（～を）開く，開ける,
697,skate,スケートをする,～を閉める，閉じる，（店などが）閉まる,（～を）開く，開ける,川,
698,open,（～を）開く，開ける,スケートをする,川,滞在する,
699,river,川,（～を）開く，開ける,滞在する,写真を撮る,
700,stay,滞在する,川,写真を撮る,踊る，ダンスをする,
701,take a picture,写真を撮る,滞在する,踊る，ダンスをする,～を飲む,
702,dance,踊る，ダンスをする,写真を撮る,～を飲む,泣く,
703,drink,～を飲む,踊る，ダンスをする,泣く,紅茶，お茶,
704,cry,泣く,～を飲む,紅茶，お茶,（～を）運転する,
705,tea,紅茶，お茶,泣く,（～を）運転する,～に電話する,
706,drive,（～を）運転する,紅茶，お茶,～に電話する,～を楽しむ,
707,call,～に電話する,（～を）運転する,～を楽しむ,冬,
708,enjoy,～を楽しむ,～に電話する,冬,休み，休暇,
709,winter,冬,～を楽しむ,休み，休暇,宿題,
710,vacation,休み，休暇,冬,宿題,海,
711,homework,宿題,休み，休暇,海,赤ちゃん,
712,sea,海,宿題,赤ちゃん,眠る,
713,baby,赤ちゃん,海,眠る,～を待つ,
714,sleep,眠る,赤ちゃん,～を待つ,～を見る,
715,wait for ～,～を待つ,眠る,～を見る,雨が降る,
716,look at ～,～を見る,～を待つ,雨が降る,犬を散歩させる,
717,rain,雨が降る,～を見る,犬を散歩させる,台所,
718,walk a dog,犬を散歩させる,雨が降る,台所,中国語,
719,kitchen,台所,犬を散歩させる,中国語,（～を）教える,
720,Chinese,中国語,台所,（～を）教える,いっしょに,
721,teach,（～を）教える,中国語,いっしょに,始まる,
722,together,いっしょに,（～を）教える,始まる,横になる,
723,start,始まる,いっしょに,横になる,～を探す,
724,lie,横になる,始まる,～を探す,庭，中庭,
725,look for ～,～を探す,横になる,庭，中庭,居間,
726,yard,庭，中庭,～を探す,居間,花,
727,living room,居間,庭，中庭,花,～を過ごす,
728,flower,花,居間,～を過ごす,家族,
729,spend,～を過ごす,花,家族,ふろに入る,
730,family,家族,～を過ごす,ふろに入る,帰宅する，家に帰って来る,
731,take a bath,ふろに入る,家族,帰宅する，家に帰って来る,～について話す,
732,come home,帰宅する，家に帰って来る,ふろに入る,～について話す,ところで,
733,talk about ～,～について話す,帰宅する，家に帰って来る,ところで,昨日（は）,
734,by the way,ところで,～について話す,昨日（は）,6年前（に）,
735,yesterday,昨日（は）,ところで,6年前（に）,昨晩,
736,six years ago,6年前（に）,昨日（は）,昨晩,止まる,
737,yesterday evening,昨晩,6年前（に）,止まる,～の前に,
738,stop,止まる,昨晩,～の前に,～を計画する,
739,in front of ～,～の前に,止まる,～を計画する,～がほしい,
740,plan,～を計画する,～の前に,～がほしい,～を必要とする,
741,want,～がほしい,～を計画する,～を必要とする,踊る，ダンスをする,
742,need,～を必要とする,～がほしい,踊る，ダンスをする,いっしょに,
743,dance,踊る，ダンスをする,～を必要とする,いっしょに,１時間，時間,
744,together,いっしょに,踊る，ダンスをする,１時間，時間,この前の日曜日（に）,
745,hour,１時間，時間,いっしょに,この前の日曜日（に）,昨日の朝,
746,last Sunday,この前の日曜日（に）,１時間，時間,昨日の朝,先月,
747,yesterday morning,昨日の朝,この前の日曜日（に）,先月,週,
748,last month,先月,昨日の朝,週,雨が降る,
749,week,週,先月,雨が降る,～を楽しむ,
750,rain,雨が降る,週,～を楽しむ,パーティー,
751,enjoy,～を楽しむ,雨が降る,パーティー,（～を）推測する,
752,party,パーティー,～を楽しむ,（～を）推測する,心配する,
753,guess,（～を）推測する,パーティー,心配する,（～を）覚えている，思い出す,
754,worry,心配する,（～を）推測する,（～を）覚えている，思い出す,（～を）やってみる,
755,remember,（～を）覚えている，思い出す,心配する,（～を）やってみる,（～を［に］）たずねる,
756,try,（～を）やってみる,（～を）覚えている，思い出す,（～を［に］）たずねる,～をさわる,
757,ask,（～を［に］）たずねる,（～を）やってみる,～をさわる,到着する,
758,touch,～をさわる,（～を［に］）たずねる,到着する,試合，ゲーム,
759,arrive,到着する,～をさわる,試合，ゲーム,テレビで,
760,game,試合，ゲーム,到着する,テレビで,夜,
761,on TV,テレビで,試合，ゲーム,夜,宿題,
762,night,夜,テレビで,宿題,～を終える,
763,homework,宿題,夜,～を終える,～を受け取る,
764,finish,～を終える,宿題,～を受け取る,女の人，女性,
765,receive,～を受け取る,～を終える,女の人，女性,今朝,
766,woman,女の人，女性,～を受け取る,今朝,映像，ビデオ，動画,
767,this morning,今朝,女の人，女性,映像，ビデオ，動画,ホテル,
768,video,映像，ビデオ，動画,今朝,ホテル,そのとき，それから,
769,hotel,ホテル,映像，ビデオ，動画,そのとき，それから,～を待つ,
770,then,そのとき，それから,ホテル,～を待つ,10分間,
771,wait for ～,～を待つ,そのとき，それから,10分間,番組,
772,for ten minutes,10分間,～を待つ,番組,家にいる,
773,program,番組,10分間,家にいる,雪が降る,
774,stay home,家にいる,番組,雪が降る,バドミントン,
775,snow,雪が降る,家にいる,バドミントン,たくさん,
776,badminton,バドミントン,雪が降る,たくさん,列車，電車,
777,a lot,たくさん,バドミントン,列車，電車,（絵の具で絵）をかく,
778,train,列車，電車,たくさん,（絵の具で絵）をかく,始まる,
779,paint,（絵の具で絵）をかく,列車，電車,始まる,～のところに滞在する,
780,start,始まる,（絵の具で絵）をかく,～のところに滞在する,正午に,
781,stay with ～,～のところに滞在する,始まる,正午に,夜に,
782,at noon,正午に,～のところに滞在する,夜に,１番目の，最初の,
783,at night,夜に,正午に,１番目の，最初の,getの過去形,
784,first,１番目の，最初の,夜に,getの過去形,起きる,
785,got,getの過去形,１番目の，最初の,起きる,goの過去形,
786,get up,起きる,getの過去形,goの過去形,店,
787,went,goの過去形,起きる,店,（～を）読む，読書する[過去形も同じ形],
788,store,店,goの過去形,（～を）読む，読書する[過去形も同じ形],comeの過去形,
789,read,（～を）読む，読書する[過去形も同じ形],店,comeの過去形,makeの過去形,
790,came,comeの過去形,（～を）読む，読書する[過去形も同じ形],makeの過去形,haveの過去形,
791,made,makeの過去形,comeの過去形,haveの過去形,eatの過去形,
792,had,haveの過去形,makeの過去形,eatの過去形,writeの過去形,
793,ate,eatの過去形,haveの過去形,writeの過去形,（～が）見える，～を見る，（人）に会う,
794,wrote,writeの過去形,eatの過去形,（～が）見える，～を見る，（人）に会う,seeの過去形,
795,see,（～が）見える，～を見る，（人）に会う,writeの過去形,seeの過去形,doの過去形,
796,saw,seeの過去形,（～が）見える，～を見る，（人）に会う,doの過去形,takeの過去形,
797,did,doの過去形,seeの過去形,takeの過去形,meetの過去形,
798,took,takeの過去形,doの過去形,meetの過去形,runの過去形,
799,met,meetの過去形,takeの過去形,runの過去形,sitの過去形,
800,ran,runの過去形,meetの過去形,sitの過去形,swimの過去形,
801,sat,sitの過去形,runの過去形,swimの過去形,sayの過去形,
802,swam,swimの過去形,sitの過去形,sayの過去形,～を買う,
803,said,sayの過去形,swimの過去形,～を買う,buyの過去形,
804,buy,～を買う,sayの過去形,buyの過去形,～を置く[過去形も同じ形],
805,bought,buyの過去形,～を買う,～を置く[過去形も同じ形],～を見つける,
806,put,～を置く[過去形も同じ形],buyの過去形,～を見つける,findの過去形,
807,find,～を見つける,～を置く[過去形も同じ形],findの過去形,（～に）勝つ,
808,found,findの過去形,～を見つける,（～に）勝つ,winの過去形,
809,win,（～に）勝つ,findの過去形,winの過去形,～をなくす，（～に）負ける,
810,won,winの過去形,（～に）勝つ,～をなくす，（～に）負ける,loseの過去形,
811,lose,～をなくす，（～に）負ける,winの過去形,loseの過去形,買い物に行く,
812,lost,loseの過去形,～をなくす，（～に）負ける,買い物に行く,帰宅する，家に着く,
813,go shopping,買い物に行く,loseの過去形,帰宅する，家に着く,朝食,
814,get home,帰宅する，家に着く,買い物に行く,朝食,寝る,
815,breakfast,朝食,帰宅する，家に着く,寝る,早く,
816,go to bed,寝る,朝食,早く,写真を撮る,
817,early,早く,寝る,写真を撮る,先週,
818,take a picture,写真を撮る,早く,先週,バスに乗って行く,
819,last week,先週,写真を撮る,バスに乗って行く,スーパーマーケット,
820,take a bus,バスに乗って行く,先週,スーパーマーケット,楽しく過ごす,
821,supermarket,スーパーマーケット,バスに乗って行く,楽しく過ごす,イタリア,
822,have a good time,楽しく過ごす,スーパーマーケット,イタリア,店,
823,Italy,イタリア,楽しく過ごす,店,Ｔシャツ,
824,shop,店,イタリア,Ｔシャツ,カード,
825,T-shirt,Ｔシャツ,店,カード,町,
826,card,カード,Ｔシャツ,町,年,
827,town,町,カード,年,学園祭,
828,year,年,町,学園祭,ベンチ,
829,school festival,学園祭,年,ベンチ,動物園,
830,bench,ベンチ,学園祭,動物園,（否定文で）何も,
831,zoo,動物園,ベンチ,（否定文で）何も,leaveの過去形,
832,anything,（否定文で）何も,動物園,leaveの過去形,（～を）去る,
833,left,leaveの過去形,（否定文で）何も,（～を）去る,am，isの過去形,
834,leave,（～を）去る,leaveの過去形,am，isの過去形,areの過去形,
835,was,am，isの過去形,（～を）去る,areの過去形,いそがしい,
836,were,areの過去形,am，isの過去形,いそがしい,そのとき，それから,
837,busy,いそがしい,areの過去形,そのとき，それから,～に親切である,
838,then,そのとき，それから,いそがしい,～に親切である,おもしろい，興味深い,
839,be kind to ～,～に親切である,そのとき，それから,おもしろい，興味深い,親（parentsで「両親」）,
840,interesting,おもしろい，興味深い,～に親切である,親（parentsで「両親」）,寒い,
841,parent,親（parentsで「両親」）,おもしろい，興味深い,寒い,～歳,
842,cold,寒い,親（parentsで「両親」）,～歳,難しい,
843,～ year(s) old,～歳,寒い,難しい,映画,
844,difficult,難しい,～歳,映画,楽しみ，おもしろいこと,
845,movie,映画,難しい,楽しみ，おもしろいこと,台所,
846,fun,楽しみ，おもしろいこと,映画,台所,晴れの,
847,kitchen,台所,楽しみ，おもしろいこと,晴れの,幸せな，楽しい,
848,sunny,晴れの,台所,幸せな，楽しい,雨（降り）の,
849,happy,幸せな，楽しい,晴れの,雨（降り）の,疲れて,
850,rainy,雨（降り）の,幸せな，楽しい,疲れて,自由な，ひまな,
851,tired,疲れて,雨（降り）の,自由な，ひまな,病気の,
852,free,自由な，ひまな,疲れて,病気の,庭,
853,sick,病気の,自由な，ひまな,庭,空腹な,
854,garden,庭,病気の,空腹な,簡単な，やさしい,
855,hungry,空腹な,庭,簡単な，やさしい,クラブ，部,
856,easy,簡単な，やさしい,空腹な,クラブ，部,怒って,
857,club,クラブ，部,簡単な，やさしい,怒って,レストラン,
858,angry,怒って,クラブ，部,レストラン,今日の午後（に）,
859,restaurant,レストラン,怒って,今日の午後（に）,～の近くに,
860,this afternoon,今日の午後（に）,レストラン,～の近くに,駅,
861,near ～,～の近くに,今日の午後（に）,駅,眠い,
862,station,駅,～の近くに,眠い,空港,
863,sleepy,眠い,駅,空港,天気，天候,
864,airport,空港,眠い,天気，天候,悲しい,
865,weather,天気，天候,空港,悲しい,劇場,
866,sad,悲しい,天気，天候,劇場,そのとき,
867,theater,劇場,悲しい,そのとき,おじ,
868,at that time,そのとき,劇場,おじ,祖父母,
869,uncle,おじ,そのとき,祖父母,病気で寝ている,
870,grandparents,祖父母,おじ,病気で寝ている,祖母，おばあさん,
871,be sick in bed,病気で寝ている,祖父母,祖母，おばあさん,同じ,
872,grandmother,祖母，おばあさん,病気で寝ている,同じ,1人で,
873,same,同じ,祖母，おばあさん,1人で,～の間中ずっと，～の間に,
874,alone,1人で,同じ,～の間中ずっと，～の間に,ほかの,
875,during ～,～の間中ずっと，～の間に,1人で,ほかの,～だけ,
876,other,ほかの,～の間中ずっと，～の間に,～だけ,自分自身の,
877,only,～だけ,ほかの,自分自身の,おたがい,
878,own,自分自身の,～だけ,おたがい,週末,
879,each other,おたがい,自分自身の,週末,～に登る,
880,weekend,週末,おたがい,～に登る,自然,
881,climb,～に登る,週末,自然,すべてのこと,
882,nature,自然,～に登る,すべてのこと,わくわくするような,
883,everything,すべてのこと,自然,わくわくするような,おはよう。,
884,exciting,わくわくするような,すべてのこと,おはよう。,またね。,
885,Good morning.,おはよう。,わくわくするような,またね。,またあとで。,
886,See you.,またね。,おはよう。,またあとで。,ごきげんいかがですか。お元気ですか。,
887,See you later.,またあとで。,またね。,ごきげんいかがですか。お元気ですか。,元気です。,
888,How are you?,ごきげんいかがですか。お元気ですか。,またあとで。,元気です。,お会いできてうれしいです。はじめまして。,
889,I'm fine.,元気です。,ごきげんいかがですか。お元気ですか。,お会いできてうれしいです。はじめまして。,（どうも）ありがとう。,
