問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4
446,at first,最初は,それはお気の毒に。,半分，２分の１,仕事に行く，通勤する
447,half,半分，２分の１,最初は,娘,それはお気の毒に。
448,daughter,娘,半分，２分の１,息子,最初は
449,son,息子,娘,音楽家,半分，２分の１
450,musician,音楽家,息子,～が必要である,娘
451,need,～が必要である,音楽家,～と…の間に,息子
452,between ～ and ...,～と…の間に,～が必要である,鼻,音楽家
453,nose,鼻,～と…の間に,黒い，暗い,～が必要である
454,dark,黒い，暗い,鼻,雲,～と…の間に
455,cloud,雲,黒い，暗い,小さい，小さな,鼻
456,small,小さい，小さな,雲,外国の,黒い，暗い
457,foreign,外国の,小さい，小さな,スペイン語・スペイン(語)の,雲
458,Spanish,スペイン語・スペイン(語)の,外国の,機械,小さい，小さな
459,machine,機械,スペイン語・スペイン(語)の,buyの過去形,外国の
460,bought,buyの過去形,機械,あなたのもの，あなたたちのもの,スペイン語・スペイン(語)の
461,yours,あなたのもの，あなたたちのもの,buyの過去形,私のもの,機械
462,mine,私のもの,あなたのもの，あなたたちのもの,彼女自身（に［を］）,buyの過去形
463,herself,彼女自身（に［を］）,私のもの,奇妙な,あなたのもの，あなたたちのもの
464,strange,奇妙な,彼女自身（に［を］）,彼女のもの,私のもの
465,hers,彼女のもの,奇妙な,私たちのもの,彼女自身（に［を］）
466,ours,私たちのもの,彼女のもの,彼(女)らのもの，それらのもの,奇妙な
467,theirs,彼(女)らのもの，それらのもの,私たちのもの,私自身（に［を］）,彼女のもの
468,myself,私自身（に［を］）,彼(女)らのもの，それらのもの,あなた自身（に［を］）,私たちのもの
469,yourself,あなた自身（に［を］）,私自身（に［を］）,彼自身（に［を］）,彼(女)らのもの，それらのもの
470,himself,彼自身（に［を］）,あなた自身（に［を］）,それ自身（に［を］）,私自身（に［を］）
471,itself,それ自身（に［を］）,彼自身（に［を］）,私たち自身（に［を］）,あなた自身（に［を］）
472,ourselves,私たち自身（に［を］）,それ自身（に［を］）,あなたたち自身（に［を］）,彼自身（に［を］）
473,yourselves,あなたたち自身（に［を］）,私たち自身（に［を］）,彼（女）ら自身（に［を］）,それ自身（に［を］）
474,themselves,彼（女）ら自身（に［を］）,あなたたち自身（に［を］）,祭り,私たち自身（に［を］）
475,festival,祭り,彼（女）ら自身（に［を］）,ハンバーガー,あなたたち自身（に［を］）
476,hamburger,ハンバーガー,祭り,～を注文する,彼（女）ら自身（に［を］）
477,order,～を注文する,ハンバーガー,もう１つのもの，もう１人の人，別のもの［人］,祭り
478,another,もう１つのもの，もう１人の人，別のもの［人］,～を注文する,ほかのもの［人］・ほかの,ハンバーガー
479,other,ほかのもの［人］・ほかの,もう１つのもの，もう１人の人，別のもの［人］,黒い,～を注文する
480,black,黒い,ほかのもの［人］・ほかの,～に電話をかける,もう１つのもの，もう１人の人，別のもの［人］
481,call,～に電話をかける,黒い,暑い，熱い,ほかのもの［人］・ほかの
482,hot,暑い，熱い,～に電話をかける,～するものもあれば，…するものもある,黒い
483,"some ～, others …",～するものもあれば，…するものもある,暑い，熱い,お互い,～に電話をかける
484,each other,お互い,～するものもあれば，…するものもある,何も～ない,暑い，熱い
485,nothing,何も～ない,お互い,長い,～するものもあれば，…するものもある
486,long,長い,何も～ない,短い，(背)が低い,お互い
487,short,短い，(背)が低い,長い,～を待つ,何も～ない
488,wait for ～,～を待つ,短い，(背)が低い,次に,長い
489,next,次に,～を待つ,クッキー,短い，(背)が低い
490,cookie,クッキー,次に,楽しく過ごす,～を待つ
491,enjoy ～self［～selves］,楽しく過ごす,クッキー,loseの過去形,次に
492,lost,loseの過去形,楽しく過ごす,硬貨，コイン,クッキー
493,coin,硬貨，コイン,loseの過去形,おじ,楽しく過ごす
494,uncle,おじ,硬貨，コイン,私に～を見せる,loseの過去形
495,show me ～,私に～を見せる,おじ,～を紹介する,硬貨，コイン
496,introduce,～を紹介する,私に～を見せる,英語で,おじ
497,in English,英語で,～を紹介する,(時間が)～かかる。,私に～を見せる
498,It takes ～. ,(時間が)～かかる。,英語で,カメラ,～を紹介する
499,camera,カメラ,(時間が)～かかる。,耳,英語で
500,ear,耳,カメラ,childの複数形,(時間が)～かかる。
501,children,childの複数形,耳,手紙,カメラ
502,letter,手紙,childの複数形,両方(とも)，２人［２つ］とも,耳
503,both,両方(とも)，２人［２つ］とも,手紙,自分自身の,childの複数形
504,own,自分自身の,両方(とも)，２人［２つ］とも,ポット,手紙
505,pot,ポット,自分自身の,～を着ている,両方(とも)，２人［２つ］とも
506,wear,～を着ている,ポット,～なしで［の］,自分自身の
507,without,～なしで［の］,～を着ている,～を描く,ポット
508,draw,～を描く,～なしで［の］,特別の,～を着ている
509,special,特別の,～を描く,走る,～なしで［の］
510,run,走る,特別の,忙しい,～を描く
511,busy,忙しい,走る,ほほえむ・ほほえみ,特別の
512,smile,ほほえむ・ほほえみ,忙しい,～になる,走る
513,become,～になる,ほほえむ・ほほえみ,（～を）保つ,忙しい
514,keep,（～を）保つ,～になる,～だと感じる，思う,ほほえむ・ほほえみ
515,feel,～だと感じる，思う,（～を）保つ,～に聞こえる，思える,～になる
516,sound,～に聞こえる，思える,～だと感じる，思う,若い,（～を）保つ
517,young,若い,～に聞こえる，思える,建物，ビル,～だと感じる，思う
518,building,建物，ビル,若い,～を与える,～に聞こえる，思える
519,give,～を与える,建物，ビル,～を送る,若い
520,send,～を送る,～を与える,～を教える,建物，ビル
521,teach,～を教える,～を送る,～をたずねる,～を与える
522,ask,～をたずねる,～を教える,～を貸す,～を送る
523,lend,～を貸す,～をたずねる,～を見つける,～を教える
524,find,～を見つける,～を貸す,～を…と呼ぶ,～をたずねる
525,call,～を…と呼ぶ,～を見つける,～を…と名づける,～を貸す
526,name,～を…と名づける,～を…と呼ぶ,ドレス,～を見つける
527,dress,ドレス,～を…と名づける,悲しい,～を…と呼ぶ
528,sad,悲しい,ドレス,Eメール,～を…と名づける
529,e-mail,Eメール,悲しい,疲れた,ドレス
530,tired,疲れた,Eメール,話，物語,悲しい
531,story,話，物語,疲れた,暗くなる,Eメール
532,get dark,暗くなる,話，物語,外[屋外]で[へ],疲れた
533,outside,外[屋外]で[へ],暗くなる,誕生日,話，物語
534,birthday,誕生日,外[屋外]で[へ],人形,暗くなる
535,doll,人形,誕生日,キャプテン,外[屋外]で[へ]
536,captain,キャプテン,人形,贈り物，プレゼント,誕生日
537,present,贈り物，プレゼント,キャプテン,発明,人形
538,invention,発明,贈り物，プレゼント,有名な,キャプテン
539,famous,有名な,発明,驚いた，びっくりした,贈り物，プレゼント
540,surprised,驚いた，びっくりした,有名な,hearの過去形,発明
541,heard,hearの過去形,驚いた，びっくりした,数学,有名な
542,math,数学,hearの過去形,注意深い，気をつける,驚いた，びっくりした
543,careful,注意深い，気をつける,数学,運転手,hearの過去形
544,driver,運転手,注意深い，気をつける,本当に，とても,数学
545,really,本当に，とても,運転手,飛行，空の旅,注意深い，気をつける
546,flight,飛行，空の旅,本当に，とても,祖父,運転手
547,grandfather,祖父,飛行，空の旅,ニックネーム,本当に，とても
548,nickname,ニックネーム,祖父,野菜,飛行，空の旅
549,vegetable,野菜,ニックネーム,たくさんの～,祖父
550,a lot of ～,たくさんの～,野菜,確かで，確信して,ニックネーム
551,sure,確かで，確信して,たくさんの～,例，実例,野菜
552,example,例，実例,確かで，確信して,～を持ってくる，～を連れてくる,たくさんの～
553,bring,～を持ってくる，～を連れてくる,例，実例,どのような～[どんな種類の]～か。,確かで，確信して
554,What kind of ～?,どのような～[どんな種類の]～か。,～を持ってくる，～を連れてくる,将来，未来,例，実例
555,in the future,将来，未来,どのような～[どんな種類の]～か。,～を聞く,～を持ってくる，～を連れてくる
556,listen to ～,～を聞く,将来，未来,beginの過去形,どのような～[どんな種類の]～か。
557,began,beginの過去形,～を聞く,～したい（のですが）,将来，未来
558,would like to ～,～したい（のですが）,beginの過去形,～を始める,～を聞く
559,begin,～を始める,～したい（のですが）,～を始める,beginの過去形
560,start,～を始める,～を始める,(～しようと)努める，（～を）試してみる,～したい（のですが）
561,try,(～しようと)努める，（～を）試してみる,～を始める,～が必要である,～を始める
562,need,～が必要である,(～しようと)努める，（～を）試してみる,～を決める，決心する,～を始める
563,decide,～を決める，決心する,～が必要である,～を望む，希望する，願う,(～しようと)努める，（～を）試してみる
564,hope,～を望む，希望する，願う,～を決める，決心する,ほんとうに，実際に,～が必要である
565,really,ほんとうに，実際に,～を望む，希望する，願う,雨が降る,～を決める，決心する
566,rain,雨が降る,ほんとうに，実際に,泣く,～を望む，希望する，願う
567,cry,泣く,雨が降る,夢,ほんとうに，実際に
568,dream,夢,泣く,簡単な，容易な,雨が降る
569,easy,簡単な，容易な,夢,おもしろい，興味深い,泣く
570,interesting,おもしろい，興味深い,簡単な，容易な,歴史,夢
571,history,歴史,おもしろい，興味深い,旅行する,簡単な，容易な
572,travel,旅行する,歴史,仕事，作業,おもしろい，興味深い
573,job,仕事，作業,旅行する,重要な，大切な,歴史
574,important,重要な，大切な,仕事，作業,あまりにも～，～すぎる,旅行する
575,too,あまりにも～，～すぎる,重要な，大切な,難しい,仕事，作業
576,difficult,難しい,あまりにも～，～すぎる,どのような～[どんな種類の]～か。,重要な，大切な
577,What kind of ～?,どのような～[どんな種類の]～か。,難しい,看護師,あまりにも～，～すぎる
578,nurse,看護師,どのような～[どんな種類の]～か。,また，再び,難しい
579,again,また，再び,看護師,オーストラリア,どのような～[どんな種類の]～か。
580,Australia,オーストラリア,また，再び,写真をとる,看護師
581,take a picture,写真をとる,オーストラリア,(～を)注文する,また，再び
582,order,(～を)注文する,写真をとる,宇宙飛行士,オーストラリア
583,astronaut,宇宙飛行士,(～を)注文する,料理店，レストラン,写真をとる
584,restaurant,料理店，レストラン,宇宙飛行士,健康,(～を)注文する
585,health,健康,料理店，レストラン,おもしろいこと，楽しいこと,宇宙飛行士
586,fun,おもしろいこと，楽しいこと,健康,願い,料理店，レストラン
587,wish,願い,おもしろいこと，楽しいこと,ニュージーランド,健康
588,New Zealand,ニュージーランド,願い,いつも,おもしろいこと，楽しいこと
589,always,いつも,ニュージーランド,危険な,願い
590,dangerous,危険な,いつも,～に親切にする,ニュージーランド
591,be kind to ～,～に親切にする,危険な,～のように見える,いつも
592,look like ～,～のように見える,～に親切にする,～を忘れる,危険な
593,forget,～を忘れる,～のように見える,昇る,～に親切にする
594,rise,昇る,～を忘れる,［否定文で］何も,～のように見える
595,anything,［否定文で］何も,昇る,散歩する,～を忘れる
596,take a walk,散歩する,［否定文で］何も,かさ,昇る
597,umbrella,かさ,散歩する,～に登る,［否定文で］何も
598,climb,～に登る,かさ,わくわくさせる,散歩する
599,exciting,わくわくさせる,～に登る,情報,かさ
600,information,情報,わくわくさせる,経験，体験,～に登る
601,experience,経験，体験,情報,goの過去形,わくわくさせる
602,went,goの過去形,経験，体験,～をする，行う,情報
603,do,～をする，行う,goの過去形,～を手伝う，～を助ける,経験，体験
604,help,～を手伝う，～を助ける,～をする，行う,comeの過去形,goの過去形
605,came,comeの過去形,～を手伝う，～を助ける,競技場,～をする，行う
606,stadium,競技場,comeの過去形,～に入る,～を手伝う，～を助ける
607,go into ～,～に入る,競技場,～を聞く，耳にする,comeの過去形
608,hear,～を聞く，耳にする,～に入る,知らせ，ニュース,競技場
609,news,知らせ，ニュース,～を聞く，耳にする,驚いた，びっくりした,～に入る
610,surprised,驚いた，びっくりした,知らせ，ニュース,うれしい，喜んで,～を聞く，耳にする
611,glad,うれしい，喜んで,驚いた，びっくりした,悲しい,知らせ，ニュース
612,sad,悲しい,うれしい，喜んで,怒って，腹をたてて,驚いた，びっくりした
613,angry,怒って，腹をたてて,悲しい,残念に思って，気の毒で,うれしい，喜んで
614,sorry,残念に思って，気の毒で,怒って，腹をたてて,～を読む［過去形も同じ形］,悲しい
615,read,～を読む［過去形も同じ形］,残念に思って，気の毒で,手紙,怒って，腹をたてて
616,letter,手紙,～を読む［過去形も同じ形］,～といっしょに,残念に思って，気の毒で
617,with,～といっしょに,手紙,食物，食べ物,～を読む［過去形も同じ形］
618,food,食物，食べ物,～といっしょに,働く,手紙
619,work,働く,食物，食べ物,カナダ,～といっしょに
620,Canada,カナダ,働く,外出する,食物，食べ物
621,go out,外出する,カナダ,runの過去形,働く
622,ran,runの過去形,外出する,～に乗る，（乗り物など）に間に合う,カナダ
623,catch,～に乗る，（乗り物など）に間に合う,runの過去形,死ぬ,外出する
624,die,死ぬ,～に乗る，（乗り物など）に間に合う,～を得る，手に入れる,runの過去形
625,get,～を得る，手に入れる,死ぬ,テレビで,～に乗る，（乗り物など）に間に合う
626,on TV,テレビで,～を得る，手に入れる,情報,死ぬ
627,information,情報,テレビで,hearの過去形,～を得る，手に入れる
628,heard,hearの過去形,情報,～に話す,テレビで
629,tell,～に話す,hearの過去形,語，単語，ことば,情報
630,word,語，単語，ことば,～に話す,～を散歩させる,hearの過去形
631,walk,～を散歩させる,語，単語，ことば,loseの過去形,～に話す
632,lost,loseの過去形,～を散歩させる,seeの過去形,語，単語，ことば
633,saw,seeの過去形,loseの過去形,（試合など）に負ける,～を散歩させる
634,lose,（試合など）に負ける,seeの過去形,（試合など）に勝つ,loseの過去形
635,win,（試合など）に勝つ,（試合など）に負ける,入院している,seeの過去形
636,be in the hospital,入院している,（試合など）に勝つ,～を飲む,（試合など）に負ける
637,drink,～を飲む,入院している,財宝，貴重品,（試合など）に勝つ
638,treasure,財宝，貴重品,～を飲む,空港,入院している
639,airport,空港,財宝，貴重品,事故,～を飲む
640,accident,事故,空港,引っ越す,財宝，貴重品
641,move,引っ越す,事故,［否定文で］だれも,空港
642,anyone,［否定文で］だれも,引っ越す,緊張した,事故
643,nervous,緊張した,［否定文で］だれも,feelの過去形,引っ越す
644,felt,feelの過去形,緊張した,さびしい,［否定文で］だれも
645,lonely,さびしい,feelの過去形,感情，気持ち,緊張した
646,feeling,感情，気持ち,さびしい,しかしながら，だが，けれども,feelの過去形
647,however,しかしながら，だが，けれども,感情，気持ち,起こる,さびしい
648,happen,起こる,しかしながら，だが，けれども,(今も)まだ,感情，気持ち
649,still,(今も)まだ,起こる,たくさんの～,しかしながら，だが，けれども
650,a lot of ～,たくさんの～,(今も)まだ,何か,起こる
651,something,何か,たくさんの～,～を飲む,(今も)まだ
652,drink,～を飲む,何か,今夜（は）,たくさんの～
653,tonight,今夜（は）,～を飲む,場所,何か
654,place,場所,今夜（は）,～はどうですか。,～を飲む
655,How about ～？,～はどうですか。,場所,仕事,今夜（は）
656,work,仕事,～はどうですか。,［疑問文で］何か,場所
657,anything,［疑問文で］何か,仕事,～を売る,～はどうですか。
658,sell,～を売る,［疑問文で］何か,～と話す,仕事
659,talk with ～,～と話す,～を売る,体育館,［疑問文で］何か
660,gym,体育館,～と話す,１つ［１人］も～ない，少しも～ない,～を売る
661,no,１つ［１人］も～ない，少しも～ない,体育館,みんな，すべての人,～と話す
662,everyone,みんな，すべての人,１つ［１人］も～ない，少しも～ない,十分な,体育館
663,enough,十分な,みんな，すべての人,季節,１つ［１人］も～ない，少しも～ない
664,season,季節,十分な,方法,みんな，すべての人
665,way,方法,季節,雑誌,十分な
666,magazine,雑誌,方法,～はいかがですか。,季節
667,Would you like ～?,～はいかがですか。,雑誌,何も～ない,方法
668,nothing,何も～ない,～はいかがですか。,ボランテイア,雑誌
669,volunteer,ボランテイア,何も～ない,詩,～はいかがですか。
670,poem,詩,ボランテイア,外国語,何も～ない
671,foreign language,外国語,詩,～のような［に］,ボランテイア
672,like,～のような［に］,外国語,サンドイッチ,詩
673,sandwich,サンドイッチ,～のような［に］,マンガ,外国語
674,comic,マンガ,サンドイッチ,ひまな，自由な,～のような［に］
675,free,ひまな，自由な,マンガ,海,サンドイッチ
676,sea,海,ひまな，自由な,～を横切って,マンガ
677,across,～を横切って,海,フランス,ひまな，自由な
678,France,フランス,～を横切って,そのとき,海
679,at that time,そのとき,フランス,歴史,～を横切って
680,history,歴史,そのとき,科目，教科,フランス
681,subject,科目，教科,歴史,将来，未来,そのとき
682,in the future,将来，未来,科目，教科,のどがかわいた,歴史
683,thirsty,のどがかわいた,将来，未来,はい，どうぞ。,科目，教科
684,Here you are.,はい，どうぞ。,のどがかわいた,質問，問題,将来，未来
685,question,質問，問題,はい，どうぞ。,最初の，１番目の,のどがかわいた
686,first,最初の，１番目の,質問，問題,難しい,はい，どうぞ。
687,difficult,難しい,最初の，１番目の,（今から）～前に,質問，問題
688,ago,（今から）～前に,難しい,宇宙,最初の，１番目の
689,space,宇宙,（今から）～前に,家に帰る，帰宅する,難しい
690,go home,家に帰る，帰宅する,宇宙,悪い,（今から）～前に
691,bad,悪い,家に帰る，帰宅する,美しい，きれいな,宇宙
692,beautiful,美しい，きれいな,悪い,～になる,家に帰る，帰宅する
693,become,～になる,美しい，きれいな,何回～しますか。,悪い
694,How many times ～?,何回～しますか。,～になる,驚くべき,美しい，きれいな
695,amazing,驚くべき,何回～しますか。,～を確認する，チェックする,～になる
696,check,～を確認する，チェックする,驚くべき,～を終える,何回～しますか。
697,finish,～を終える,～を確認する，チェックする,～を止める，止まる，やめる,驚くべき
698,stop,～を止める，止まる，やめる,～を終える,踊る,～を確認する，チェックする
699,dance,踊る,～を止める，止まる，やめる,スキーをする,～を終える
700,ski,スキーをする,踊る,趣味,～を止める，止まる，やめる
701,hobby,趣味,スキーをする,～を集める,踊る
702,collect,～を集める,趣味,外国の,スキーをする
703,foreign,外国の,～を集める,～が得意である，～が上手である,趣味
704,be good at ～,～が得意である，～が上手である,外国の,魚[複数形も同じ形],～を集める
705,fish,魚[複数形も同じ形],～が得意である，～が上手である,新聞,外国の
706,newspaper,新聞,魚[複数形も同じ形],重要な，大切な,～が得意である，～が上手である
707,important,重要な，大切な,新聞,中国語，中国人,魚[複数形も同じ形]
708,Chinese,中国語，中国人,重要な，大切な,難しい,新聞
709,difficult,難しい,中国語，中国人,フランス,重要な，大切な
710,France,フランス,難しい,（～を）思い出す，覚えている,中国語，中国人
711,remember,（～を）思い出す，覚えている,フランス,～を［に］送る,難しい
712,send,～を［に］送る,（～を）思い出す，覚えている,クリスマス,フランス
713,Christmas,クリスマス,～を［に］送る,～を決める，決心する,（～を）思い出す，覚えている
714,decide,～を決める，決心する,クリスマス,～を忘れる,～を［に］送る
715,forget,～を忘れる,～を決める，決心する,～を描く,クリスマス
716,draw,～を描く,～を忘れる,切手,～を決める，決心する
717,stamp,切手,～を描く,～を洗う,～を忘れる
718,wash,～を洗う,切手,仕事，職業，作業,～を描く
719,job,仕事，職業，作業,～を洗う,簡単な，容易な,切手
720,easy,簡単な，容易な,仕事，職業，作業,バレーボール,～を洗う
721,volleyball,バレーボール,簡単な，容易な,模型飛行機,仕事，職業，作業
722,model plane,模型飛行機,バレーボール,レポート，報告書,簡単な，容易な
723,report,レポート，報告書,模型飛行機,病気の,バレーボール
724,sick,病気の,レポート，報告書,～を閉める，閉じる，（店などが）閉まる,模型飛行機
725,close,～を閉める，閉じる，（店などが）閉まる,病気の,決して～ない，今まで(一度も)～ない,レポート，報告書
726,never,決して～ない，今まで(一度も)～ない,～を閉める，閉じる，（店などが）閉まる,中国,病気の
727,China,中国,決して～ない，今まで(一度も)～ない,村,～を閉める，閉じる，（店などが）閉まる
728,village,村,中国,正午までに,決して～ない，今まで(一度も)～ない
729,by noon,正午までに,村,料理店，レストラン,中国
730,restaurant,料理店，レストラン,正午までに,科学，理科,村
731,science,科学，理科,料理店，レストラン,健康,正午までに
732,health,健康,科学，理科,フルート,料理店，レストラン
733,flute,フルート,健康,ルール，規則,科学，理科
734,rule,ルール，規則,フルート,leaveの過去形,健康
735,left,leaveの過去形,ルール，規則,～なしに,フルート
736,without,～なしに,leaveの過去形,国,ルール，規則
737,country,国,～なしに,世界中,leaveの過去形
738,all over the world,世界中,国,～を待つ,～なしに
739,wait for ～,～を待つ,世界中,どのような[どんな種類の]～か。,国
740,What kind of ～?,どのような[どんな種類の]～か。,～を待つ,役に立つ,世界中
741,useful,役に立つ,どのような[どんな種類の]～か。,～の間(ずっと)，～中,～を待つ
742,during,～の間(ずっと)，～中,役に立つ,にっこりと笑って,どのような[どんな種類の]～か。
743,with a smile,にっこりと笑って,～の間(ずっと)，～中,まず最初に，第１に,役に立つ
744,first,まず最初に，第１に,にっこりと笑って,すべて，何もかも,～の間(ずっと)，～中
745,everything,すべて，何もかも,まず最初に，第１に,私自身(を),にっこりと笑って
746,myself,私自身(を),すべて，何もかも,冬,まず最初に，第１に
747,winter,冬,私自身(を),[形・面積・容量が]大きい，広い,すべて，何もかも
748,large,[形・面積・容量が]大きい，広い,冬,建物，ビル,私自身(を)
749,building,建物，ビル,[形・面積・容量が]大きい，広い,いつも,冬
750,always,いつも,建物，ビル,ふつう，たいてい,[形・面積・容量が]大きい，広い
751,usually,ふつう，たいてい,いつも,決して～ない，今まで(一度も)～ない,建物，ビル
752,never,決して～ない，今まで(一度も)～ない,ふつう，たいてい,遅い,いつも
753,slow,遅い,決して～ない，今まで(一度も)～ない,ゆっくりと，遅く,ふつう，たいてい
754,slowly,ゆっくりと，遅く,遅い,楽しく，幸福に,決して～ない，今まで(一度も)～ない
755,happily,楽しく，幸福に,ゆっくりと，遅く,注意深く,遅い
756,carefully,注意深く,楽しく，幸福に,～もまた…ない,ゆっくりと，遅く
757,not ～ either,～もまた…ない,注意深く,十分な・十分に,楽しく，幸福に
758,enough,十分な・十分に,～もまた…ない,金持ちの,注意深く
759,rich,金持ちの,十分な・十分に,悪い，間違っている,～もまた…ない
760,wrong,悪い，間違っている,金持ちの,高い,十分な・十分に
761,high,高い,悪い，間違っている,うれしい，喜んで,金持ちの
762,glad,うれしい，喜んで,高い,きれいな，かわいらしい,悪い，間違っている
763,pretty,きれいな，かわいらしい,うれしい，喜んで,アルバム,高い
764,album,アルバム,きれいな，かわいらしい,ボート，小舟，船,うれしい，喜んで
765,boat,ボート，小舟，船,アルバム,お金,きれいな，かわいらしい
766,money,お金,ボート，小舟，船,～を忘れる,アルバム
767,forget,～を忘れる,お金,２月,ボート，小舟，船
768,February,２月,～を忘れる,(暦の)月,お金
769,month,(暦の)月,２月,立つ,～を忘れる
770,stand,立つ,(暦の)月,強い,２月
771,strong,強い,立つ,わくわくさせる,(暦の)月
772,exciting,わくわくさせる,強い,虹,立つ
773,rainbow,虹,わくわくさせる,1月,強い
774,January,1月,虹,黒い,わくわくさせる
775,black,黒い,1月,ひまな，自由な,虹
776,free,ひまな，自由な,黒い,安全な,1月
777,safe,安全な,ひまな，自由な,危険な,黒い
778,dangerous,危険な,安全な,弱い,ひまな，自由な
779,weak,弱い,危険な,重い,安全な
780,heavy,重い,弱い,軽い,危険な
781,light,軽い,重い,(時間の)分,弱い
782,minute,(時間の)分,軽い,科学者,重い
783,scientist,科学者,(時間の)分,運転手,軽い
784,driver,運転手,科学者,（～を）運転する,(時間の)分
785,drive,（～を）運転する,運転手,物音を立てる,科学者
786,make a noise,物音を立てる,（～を）運転する,冷蔵庫,運転手
787,fridge,冷蔵庫,物音を立てる,速く，急いで,（～を）運転する
788,quickly,速く，急いで,冷蔵庫,曲がる，回る,物音を立てる
789,turn,曲がる，回る,速く，急いで,変わる，～を変える,冷蔵庫
790,change,変わる，～を変える,曲がる，回る,～を持っている，抱く,速く，急いで
791,hold,～を持っている，抱く,変わる，～を変える,活発な，元気な,曲がる，回る
792,active,活発な，元気な,～を持っている，抱く,私のもの,変わる，～を変える
793,mine,私のもの,活発な，元気な,少し,～を持っている，抱く
794,a little,少し,私のもの,古い，年とった,活発な，元気な
795,old,古い，年とった,少し,若い,私のもの
796,young,若い,古い，年とった,きれいな，かわいらしい,少し
797,pretty,きれいな，かわいらしい,若い,やさしい，簡単な,古い，年とった
798,easy,やさしい，簡単な,きれいな，かわいらしい,早く,若い
799,early,早く,やさしい，簡単な,暑い，熱い,きれいな，かわいらしい
800,hot,暑い，熱い,早く,橋,やさしい，簡単な
801,bridge,橋,暑い，熱い,山,早く
802,mountain,山,橋,新しい,暑い，熱い
803,new,新しい,山,飛行機,橋
804,plane,飛行機,新しい,熱心に，一生懸命に,山
805,hard,熱心に，一生懸命に,飛行機,重要な，大切な,新しい
806,important,重要な，大切な,熱心に，一生懸命に,難しい,飛行機
807,difficult,難しい,重要な，大切な,役に立つ,熱心に，一生懸命に
808,useful,役に立つ,難しい,有名な,重要な，大切な
809,famous,有名な,役に立つ,おろかな,難しい
810,foolish,おろかな,有名な,美しい，きれいな,役に立つ
811,beautiful,美しい，きれいな,おろかな,おもしろい，興味深い,有名な
812,interesting,おもしろい，興味深い,美しい，きれいな,人気のある,おろかな
813,popular,人気のある,おもしろい，興味深い,注意深く,美しい，きれいな
814,carefully,注意深く,人気のある,容易に，簡単に,おもしろい，興味深い
815,easily,容易に，簡単に,注意深く,速く，急いで,人気のある
816,quickly,速く，急いで,容易に，簡単に,作家,注意深く
817,writer,作家,速く，急いで,動物,容易に，簡単に
818,animal,動物,作家,動く，移動する,速く，急いで
819,move,動く，移動する,動物,寒い，冷たい,作家
820,cold,寒い，冷たい,動く，移動する,声,動物
821,voice,声,寒い，冷たい,店,動く，移動する
822,store,店,声,甘い,寒い，冷たい
823,sweet,甘い,店,高価な,声
824,expensive,高価な,甘い,塔，タワー,店
825,tower,塔，タワー,高価な,～に乗る,甘い
826,ride,～に乗る,塔，タワー,きれいな，清潔な,高価な
827,clean,きれいな，清潔な,～に乗る,何も～ない,塔，タワー
828,nothing,何も～ない,きれいな，清潔な,平和,～に乗る
829,peace,平和,何も～ない,担任の先生,きれいな，清潔な
830,homeroom teacher,担任の先生,平和,飛行機,何も～ない
831,plane,飛行機,担任の先生,教会,平和
832,church,教会,飛行機,町,担任の先生
833,town,町,教会,列車時刻表,飛行機
834,train schedule,列車時刻表,町,（費用が）かかる,教会
835,cost,（費用が）かかる,列車時刻表,たくさん(のもの),町
836,a lot,たくさん(のもの),（費用が）かかる,自分自身の,列車時刻表
837,own,自分自身の,たくさん(のもの),ロボット,（費用が）かかる
838,robot,ロボット,自分自身の,～を運ぶ,たくさん(のもの)
839,carry,～を運ぶ,ロボット,～を示す，見せる,自分自身の
840,show,～を示す，見せる,～を運ぶ,変わる，～を変える,ロボット
841,change,変わる，～を変える,～を示す，見せる,大きさ，サイズ,～を運ぶ
842,size,大きさ，サイズ,変わる，～を変える,～が必要である,～を示す，見せる
843,need,～が必要である,大きさ，サイズ,お金,変わる，～を変える
844,money,お金,～が必要である,夏,大きさ，サイズ
845,summer,夏,お金,冬,～が必要である
846,winter,冬,夏,春,お金
847,spring,春,冬,季節,夏
848,season,季節,春,悪い,冬
849,bad,悪い,季節,方法,春
850,way,方法,悪い,中国,季節
851,China,中国,方法,白い,悪い
852,white,白い,中国,湖,方法
853,lake,湖,白い,腕時計,中国
854,watch,腕時計,湖,２倍,白い
855,twice,２倍,腕時計,半分，２分の１,湖
856,half,半分，２分の１,２倍,薬,腕時計
857,medicine,薬,半分，２分の１,ドレス,２倍
858,dress,ドレス,薬,川,半分，２分の１
859,river,川,ドレス,国,薬
860,country,国,川,フランス語,ドレス
861,French,フランス語,国,歌手,川
862,singer,歌手,フランス語,eatの過去形,国
863,ate,eatの過去形,歌手,いちばん好きな，お気に入りの,フランス語
864,favorite,いちばん好きな，お気に入りの,eatの過去形,色,歌手
865,color,色,いちばん好きな，お気に入りの,赤(色),eatの過去形
866,red,赤(色),色,バイオリン,いちばん好きな，お気に入りの
867,violin,バイオリン,赤(色),泳ぐ,色
868,swim,泳ぐ,バイオリン,お茶，紅茶,赤(色)
869,tea,お茶，紅茶,泳ぐ,コーヒー,バイオリン
870,coffee,コーヒー,お茶，紅茶,すばらしい,泳ぐ
871,wonderful,すばらしい,コーヒー,暖かい,お茶，紅茶
